Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2020-02-01T00:10:00+00:00,,,51.487844,-3.158089,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,
Person search,2020-02-01T02:00:00+00:00,,,,,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,False,
Person search,2020-02-01T02:08:00+00:00,,,51.716597,-3.447215,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,
Person search,2020-02-01T02:25:00+00:00,,,51.479605,-3.177277,Male,,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,
Person search,2020-02-01T02:28:00+00:00,,,52.604752,-3.228430,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,
Person search,2020-02-01T02:52:00+00:00,,,52.601165,-3.210035,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,True,
Person search,2020-02-01T03:50:00+00:00,,,51.483192,-3.171004,Male,,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person search,2020-02-01T06:30:00+00:00,,,51.476106,-3.182745,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,
Person search,2020-02-01T07:35:00+00:00,,,51.612598,-3.406468,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,False,
Person search,2020-02-01T08:13:00+00:00,,,51.498054,-3.152167,Male,,,White,,,,,
Person search,2020-02-01T11:32:00+00:00,,,51.475267,-3.174991,Male,,White - Any other White background,White,,Offensive weapons,A no further action disposal,False,
Person search,2020-02-01T13:15:00+00:00,,,51.480601,-3.177476,Male,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,
Person search,2020-02-01T13:45:00+00:00,,,51.469838,-3.169309,Female,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,
Person search,2020-02-01T14:34:00+00:00,,,51.617489,-3.944932,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,
Person search,2020-02-01T14:36:00+00:00,,,51.469838,-3.171123,Male,,,,,Offensive weapons,A no further action disposal,False,
Person search,2020-02-01T14:45:00+00:00,,,51.506627,-3.579500,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,False,
Person search,2020-02-01T14:50:00+00:00,,,51.469838,-3.169309,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,,Offensive weapons,A no further action disposal,False,
Person search,2020-02-01T14:53:00+00:00,,,51.469838,-3.169309,Male,,Black/African/Caribbean/Black British - African,Black,,Offensive weapons,A no further action disposal,False,
Person search,2020-02-01T15:00:00+00:00,,,51.472643,-3.178365,Male,,,,,Offensive weapons,A no further action disposal,False,
Person search,2020-02-01T15:01:00+00:00,,,51.469838,-3.169309,Male,,White - English/Welsh/Scottish/Northern Irish/British,Asian,,Offensive weapons,A no further action disposal,False,
