Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2020-02-01T00:15:00+00:00,False,,51.258779,-0.007462,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Community resolution,True,
Person search,2020-02-01T01:29:00+00:00,False,,51.433143,-0.451697,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Arrest,True,
Person search,2020-02-01T02:01:00+00:00,False,,51.235258,-0.204458,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Mixed,,Offensive weapons,A no further action disposal,False,
Person search,2020-02-01T15:40:00+00:00,False,,51.240814,-0.167824,Male,18-24,White - Any other White background,White,,Offensive weapons,Arrest,True,
Person search,2020-02-01T20:20:00+00:00,False,,51.337472,-0.644610,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,
Person search,2020-02-01T21:11:00+00:00,False,,51.275698,-0.319516,Male,25-34,Other ethnic group - Not stated,White,,Controlled drugs,Community resolution,True,
Person search,2020-02-01T23:00:00+00:00,False,,51.338196,-0.745039,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,
Person search,2020-02-01T23:06:00+00:00,False,,51.337085,-0.744624,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Anything to threaten or harm anyone,A no further action disposal,False,
Person search,2020-02-01T23:17:00+00:00,True,,51.337927,-0.744285,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Anything to threaten or harm anyone,A no further action disposal,False,
Person search,2020-02-01T23:22:00+00:00,False,,51.340039,-0.742534,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Anything to threaten or harm anyone,A no further action disposal,False,
Person search,2020-02-01T23:27:00+00:00,True,,51.338196,-0.745039,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Anything to threaten or harm anyone,A no further action disposal,False,
Person search,2020-02-01T23:29:00+00:00,True,,51.337927,-0.744285,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,
